Rndrng_NPI,Rndrng_Prvdr_Type,HCPCS_Cd,Place_Of_Srvc,Tot_Srvcs,Avg_Sbmtd_Chrg
1003000142,Anesthesiology,99213,F,57,98
1003000142,Anesthesiology,99213,O,89,136.06741573
1003000480,General Surgery,99213,F,11,263
1003000530,Internal Medicine,99213,O,49,144.71428571
1003000597,Urology,99213,O,175,158
1003000720,Nurse Practitioner,99213,O,65,225
1003000738,Physician Assistant,99213,O,16,233
1003000902,Family Practice,99213,O,244,172
1003000142,Anesthesiology,99214,F,91,144
1003000142,Anesthesiology,99214,O,276,346.15942029
1003000530,Internal Medicine,99214,O,708,212.94915254
1003000597,Urology,99214,O,629,224
1003000902,Family Practice,99214,O,192,243
1003000142,Anesthesiology,99215,F,16,214
1003000530,Internal Medicine,99215,O,15,279.73333333
1003000738,Physician Assistant,20610,O,16,249.375
1003000936,Cardiology,36415,O,467,11.60385439
